timestamp;lightsource;activity;activity_desc
2-6-2025 0:00;D;1;
2-6-2025 1:00;D;1;
2-6-2025 2:00;D;1;
2-6-2025 3:00;D;1;
2-6-2025 4:00;D;1;
2-6-2025 5:00;W;1;
2-6-2025 6:00;W;1;
2-6-2025 7:00;W;1;
2-6-2025 8:00;W;1;
2-6-2025 9:00;W+E;1;
2-6-2025 10:00;I;2;
2-6-2025 11:00;I;2;
2-6-2025 12:00;O;4;
2-6-2025 13:00;L;5;
2-6-2025 14:00;L+E;5;
2-6-2025 15:00;L+E;5;
2-6-2025 16:00;L+E;5;
2-6-2025 17:00;L+E;5;
2-6-2025 18:00;O;4;
2-6-2025 19:00;O;8;sport outdoors
2-6-2025 20:00;O;8;sport outdoors
2-6-2025 21:00;O;4;
2-6-2025 22:00;L;2;
2-6-2025 23:00;L;2;
3-6-2025 0:00;D;1;
3-6-2025 1:00;D;1;
3-6-2025 2:00;D;1;
3-6-2025 3:00;D;1;
3-6-2025 4:00;D;1;
3-6-2025 5:00;D;1;
3-6-2025 6:00;D+W;1;
3-6-2025 7:00;D+W;1;
3-6-2025 8:00;D+W;2;
3-6-2025 9:00;D+W;2;
3-6-2025 10:00;I;2;
3-6-2025 11:00;I;3;
3-6-2025 12:00;L+E;5;
3-6-2025 13:00;L+E;5;
3-6-2025 14:00;L+E;5;
3-6-2025 15:00;I;3;
3-6-2025 16:00;L;5;
3-6-2025 17:00;L;5;
3-6-2025 18:00;L;5;
3-6-2025 19:00;L+I;5;
3-6-2025 20:00;I;2;
3-6-2025 21:00;L;2;
3-6-2025 22:00;L;2;
3-6-2025 23:00;L;2;
4-6-2025 0:00;D;1;
4-6-2025 1:00;D;1;
4-6-2025 2:00;D;1;
4-6-2025 3:00;D;1;
4-6-2025 4:00;D;1;
4-6-2025 5:00;D;1;
4-6-2025 6:00;D;1;
4-6-2025 7:00;D;1;
4-6-2025 8:00;O;1;
4-6-2025 9:00;O;1;
4-6-2025 10:00;O;4;
4-6-2025 11:00;O;4;
4-6-2025 12:00;L+E;5;
4-6-2025 13:00;L+E;5;
4-6-2025 14:00;L+I;5;
4-6-2025 15:00;L+I;5;
4-6-2025 16:00;O;8;running outdoors
4-6-2025 17:00;O;8;running outdoors
4-6-2025 18:00;O;8;running outdoors
4-6-2025 19:00;O;8;running outdoors
