timestamp;lightsource;activity;activity_desc
23/02/2025 00:00;W;3;
23/02/2025 01:00;L;2;
23/02/2025 02:00;D;1;
23/02/2025 03:00;D;1;
23/02/2025 04:00;D;1;
23/02/2025 05:00;D;1;
23/02/2025 06:00;D;1;
23/02/2025 07:00;D;1;
23/02/2025 08:00;D;1;
23/02/2025 09:00;I;2;
23/02/2025 10:00;I;2;
23/02/2025 11:00;I;2;
23/02/2025 12:00;I;2;
23/02/2025 13:00;O;3;
23/02/2025 14:00;L;5;
23/02/2025 15:00;L;5;
23/02/2025 16:00;O;3;
23/02/2025 17:00;L;2;
23/02/2025 18:00;L;2;
23/02/2025 19:00;L+S;3;
23/02/2025 20:00;L;8;
23/02/2025 21:00;L;8;
23/02/2025 22:00;L;2;
23/02/2025 23:00;O;1;
24/02/2025 00:00;D;1;
24/02/2025 01:00;D;1;
24/02/2025 02:00;D;1;
24/02/2025 03:00;D;1;
24/02/2025 04:00;D;1;
24/02/2025 05:00;D;1;
24/02/2025 06:00;D;1;
24/02/2025 07:00;D;1;
24/02/2025 08:00;L;2;
24/02/2025 09:00;E;5;
24/02/2025 10:00;E;5;
24/02/2025 11:00;E;5;
24/02/2025 12:00;L;2;
24/02/2025 13:00;E;5;
24/02/2025 14:00;E;5;
24/02/2025 15:00;I;5;
24/02/2025 16:00;I;5;
24/02/2025 17:00;I;2;
24/02/2025 18:00;L;2;
24/02/2025 19:00;E;5;
24/02/2025 20:00;E;5;
24/02/2025 21:00;E;5;
24/02/2025 22:00;L;2;
24/02/2025 23:00;L;2;
25/02/2025 00:00;D;1;
25/02/2025 01:00;D;1;
25/02/2025 02:00;D;1;
25/02/2025 03:00;D;1;
25/02/2025 04:00;D;1;
25/02/2025 05:00;D;1;
25/02/2025 06:00;D;1;
25/02/2025 07:00;D;1;
25/02/2025 08:00;D;1;
25/02/2025 09:00;I+L;5;
25/02/2025 10:00;I+L;5;
25/02/2025 11:00;I+L;5;
25/02/2025 12:00;I+L;5;
25/02/2025 13:00;I+L;2;
25/02/2025 14:00;I+L;5;
25/02/2025 15:00;I+L;7;
25/02/2025 16:00;I+L;5;
25/02/2025 17:00;L;2;
25/02/2025 18:00;L+E;2;
25/02/2025 19:00;L+E;5;
25/02/2025 20:00;L+E;5;
25/02/2025 21:00;L+E;5;
25/02/2025 22:00;L+E;2;
25/02/2025 23:00;L+E;2;
26/02/2025 00:00;D;1;
26/02/2025 01:00;D;1;
26/02/2025 02:00;D;1;
26/02/2025 03:00;D;1;
26/02/2025 04:00;D;1;
26/02/2025 05:00;D;1;
26/02/2025 06:00;D;1;
26/02/2025 07:00;D;1;
26/02/2025 08:00;D;1;
26/02/2025 09:00;L;2;
26/02/2025 10:00;O;4;
26/02/2025 11:00;L;5;
26/02/2025 12:00;O;6;
26/02/2025 13:00;L;5;
26/02/2025 14:00;L;5;
26/02/2025 15:00;L;5;
26/02/2025 16:00;O;4;
26/02/2025 17:00;L;2;
26/02/2025 18:00;L+E;2;
26/02/2025 19:00;L+E;2;
26/02/2025 20:00;L+E;2;
26/02/2025 21:00;L+E;2;
26/02/2025 22:00;L+E;2;
26/02/2025 23:00;D;1;
27/02/2025 00:00;D;1;
27/02/2025 01:00;D;1;
27/02/2025 02:00;D;1;
27/02/2025 03:00;D;1;
27/02/2025 04:00;D;1;
27/02/2025 05:00;D;1;
27/02/2025 06:00;D;1;
27/02/2025 07:00;D;1;
27/02/2025 08:00;L;5;
27/02/2025 09:00;L+E;5;
27/02/2025 10:00;L+I;5;
27/02/2025 11:00;L+I;5;
27/02/2025 12:00;I+L;2;
27/02/2025 13:00;L+I;5;
27/02/2025 14:00;L;5;
27/02/2025 15:00;O;4;
27/02/2025 16:00;L;5;
27/02/2025 17:00;L;5;
27/02/2025 18:00;L;5;
27/02/2025 19:00;L;5;
27/02/2025 20:00;L;5;
27/02/2025 21:00;L;5;
27/02/2025 22:00;O;4;
27/02/2025 23:00;E;2;
28/02/2025 00:00;D;1;
28/02/2025 01:00;D;1;
28/02/2025 02:00;D;1;
28/02/2025 03:00;D;1;
28/02/2025 04:00;D;1;
28/02/2025 05:00;D;1;
28/02/2025 06:00;D;1;
28/02/2025 07:00;D;1;
28/02/2025 08:00;L;2;
28/02/2025 09:00;E;5;
28/02/2025 10:00;E;5;
28/02/2025 11:00;E;5;
28/02/2025 12:00;L+I;2;
28/02/2025 13:00;L+I;5;
28/02/2025 14:00;L+I;5;
28/02/2025 15:00;O;3;
28/02/2025 16:00;O;7;
28/02/2025 17:00;O;3;
28/02/2025 18:00;I;2;
28/02/2025 19:00;L;2;
28/02/2025 20:00;E;2;
28/02/2025 21:00;E;2;
28/02/2025 22:00;E;2;
28/02/2025 23:00;D;1;
01/03/2025 00:00;D;1;
01/03/2025 01:00;D;1;
01/03/2025 02:00;D;1;
01/03/2025 03:00;D;1;
01/03/2025 04:00;D;1;
01/03/2025 05:00;D;1;
01/03/2025 06:00;D;1;
01/03/2025 07:00;D;1;
01/03/2025 08:00;D;1;
01/03/2025 09:00;L;2;
01/03/2025 10:00;L;2;
01/03/2025 11:00;I;3;
01/03/2025 12:00;I;3;
01/03/2025 13:00;O;7;
01/03/2025 14:00;O;7;
01/03/2025 15:00;O;7;
01/03/2025 16:00;O;7;
01/03/2025 17:00;O;7;
01/03/2025 18:00;S;7;
01/03/2025 19:00;S;7;
01/03/2025 20:00;S;3;
01/03/2025 21:00;S;3;
01/03/2025 22:00;L+E;2;
01/03/2025 23:00;D;1;
02/03/2025 00:00;D;1;
02/03/2025 01:00;D;1;
02/03/2025 02:00;D;1;
02/03/2025 03:00;D;1;
02/03/2025 04:00;D;1;
02/03/2025 05:00;D;1;
