timestamp;lightsource;activity;activity_desc
24-3-2025 0:00;D;1;
24-3-2025 1:00;D;1;
24-3-2025 2:00;D;1;
24-3-2025 3:00;D;1;
24-3-2025 4:00;D;1;
24-3-2025 5:00;D;1;
24-3-2025 6:00;D;1;
24-3-2025 7:00;I;2;
24-3-2025 8:00;O+I;3;also 4
24-3-2025 9:00;E+L+I;3;also 4, also 5
24-3-2025 10:00;E+L+I;5;
24-3-2025 11:00;L+I+E;5;
24-3-2025 12:00;L+I+E;5;
24-3-2025 13:00;L+E;5;
24-3-2025 14:00;L+I+E;5;
24-3-2025 15:00;I+E;5;
24-3-2025 16:00;O+I;4;
24-3-2025 17:00;L;8;sport indoors
24-3-2025 18:00;L+O;8;sport indoors, also 4
24-3-2025 19:00;L+S;2;
24-3-2025 20:00;L+S;2;
24-3-2025 21:00;L+S;2;
24-3-2025 22:00;L+S;2;
24-3-2025 23:00;L+S;2;
25-3-2025 0:00;D+W;1;
25-3-2025 1:00;D+W;1;
25-3-2025 2:00;D+W;1;
25-3-2025 3:00;D+W;1;
25-3-2025 4:00;D+W;1;
25-3-2025 5:00;D+W;1;
25-3-2025 6:00;D+W;1;
25-3-2025 7:00;D+W;1;
25-3-2025 8:00;I;2;
25-3-2025 9:00;I;2;
25-3-2025 10:00;I;2;
25-3-2025 11:00;I+E;5;
25-3-2025 12:00;L+E;5;
25-3-2025 13:00;L+E+I;5;
25-3-2025 14:00;L+E+I;5;
25-3-2025 15:00;O+L;4;also 5
25-3-2025 16:00;L+E;5;
25-3-2025 17:00;L+E;5;
25-3-2025 18:00;L+E;5;
25-3-2025 19:00;L+E+S;4;also 2
25-3-2025 20:00;S+L+E;2;
25-3-2025 21:00;S+L+E;2;
25-3-2025 22:00;S+L+E;2;
25-3-2025 23:00;D+W;1;
26-3-2025 0:00;D;1;
26-3-2025 1:00;D;1;
26-3-2025 2:00;D;1;
26-3-2025 3:00;D;1;
26-3-2025 4:00;D;1;
26-3-2025 5:00;D;1;
26-3-2025 6:00;D;1;
26-3-2025 7:00;D;1;
26-3-2025 8:00;I;2;
26-3-2025 9:00;I;2;
26-3-2025 10:00;I;2;also 5
26-3-2025 11:00;I+E;5;
26-3-2025 12:00;I+E;5;
26-3-2025 13:00;L+I;5;
26-3-2025 14:00;L+I;5;
26-3-2025 15:00;L+I;5;
26-3-2025 16:00;L+I;5;also 4
26-3-2025 17:00;I+L;8;sport indoors, also 4
26-3-2025 18:00;L;8;sport indoors
26-3-2025 19:00;O+L;4;
26-3-2025 20:00;L+E;2;
26-3-2025 21:00;L+E;2;
26-3-2025 22:00;L+E;2;
26-3-2025 23:00;E+D;2;also 1
27-3-2025 0:00;D;1;
27-3-2025 1:00;D;1;
27-3-2025 2:00;D;1;
27-3-2025 3:00;D;1;
27-3-2025 4:00;D;1;
27-3-2025 5:00;D;1;
